,,,,,Estimated Effort Remaining,,,,,,,,,,,,,,,,,,
ID,Product Backlog Item,Sprint Task,Volunteer,Initial Estimate of Effort,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,STATUS
48,"Come sistema, voglio che l’applicazione garantisca la protezione dei dati, il controllo degli accessi e la prevenzione di utilizzi non autorizzati, in modo da ridurre i rischi di sicurezza, assicurare l’integrità delle informazioni e rispettare i requisiti normativi.",1. Limitazione della frequenza delle richieste su endpoint pubblici (basato su IP e utente),Giacomo,3,3,2,,,,,,,,,,,,,,,,,DONE
,,2. Convalida e sanificazione di tutti gli input utente,Giacomo,3,3,2,,,,,,,,,,,,,,,,,DONE
,,"3. Gestione sicura delle API (rimozione delle chiavi hard-coded, rotazione delle chiavi JWT, seguire le best practices OWASP senza intaccare le funzionalità esistenti",Giacomo,3,3,2,1,,,,,,,,,,,,,,,,DONE
,,4. Testing,Giacomo,2,2,2,1,,,,,,,,,,,,,,,,DONE
,,5. Documetazione,Giacomo,1,1,1,1,,,,,,,,,,,,,,,,DONE
,,6. Deploy,Giacomo,1,1,1,1,,,,,,,,,,,,,,,,DONE
47,Come utente voglio poter selezionare il punto di arrivo e di partenza in modo tale da visualizzare i sentieri percorribili,1. UI pianificazione sessione da sentieri su mappa da database.,Federico,3,3,3,3,3,3,2,2,1,1,,,,,,,,,,DONE
,,"3. Modello sentiero e metodi CRUD necessari
 solo (get, e get{id})",Marco,2,2,2,2,2,2,2,1,1,,,,,,,,,,,DONE
,,3. Modello Punto di partenza/arrivo e metodi CRUD,Marco,3,3,3,3,3,3,2,2,1,,,,,,,,,,,DONE
,,4. Logica associazione Punto meta/partenza e sentieri relativi,Marco,3,3,3,3,3,3,3,2,2,1,,,,,,,,,,DONE
,,5. Endpoint/query sentieri percorribili tra due punti GeoJSON.,Marco,4,4,4,4,4,4,4,3,2,1,,,,,,,,,,DONE
,,6. Preview percorso su mappa in tab Pianifica.,Federico,3,3,3,3,3,3,3,3,3,2,1,,,,,,,,,DONE
,,7. Testing,Marco,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,DONE
,,8. Documentazione,Marco,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,DONE
,,9. Deploy,Federico,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,DONE
7,"Come escursionista voglio ricevere una checklist dell'equipaggiamento necessaria basata sull'itinerario e sulle condizioni meteo (durante i giorni precedenti alla partenza), cosi da prepararmi adeguatamente",1. Integrazione API meteo TINIA/meteo.report con persistenza MongoDB.,Marco,0,,,,,,,,,,,,,,,,,,,DONE
,,2. Modello Location GeoJSON e endpoint forecast 3h/24h.,Marco,0,,,,,,,,,,,,,,,,,,,DONE
,,3. Integrazione meteo reale in SessionDetailScreen.,Giacomo,0,,,,,,,,,,,,,,,,,,,DONE
,,4. Sviluppo UI checklist con drag-and-drop e spunta.,Giacomo,0,,,,,,,,,,,,,,,,,,,DONE
,,5. Sviluppo algoritmo di mappatura meteo/altitudine -> equipaggiamento.,Marco,4,4,4,4,4,4,3,2,,,,,,,,,,,,DONE
,,6. Testing API,Marco,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,DONE
,,7. Documentazione,Marco,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,DONE
,,8. Deploy,Federico,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,DONE
12,"Come escursionista, voglio poter consultare una mappa offline con la mia posizione e una bussola cosi da orientarmi anche senza copertura internet",1. Integrazione OSMDroid per rendering mappa e marker utente.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,2. UserLocationTracker e indicatore segnale GPS.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,3. Centratura mappa e lifecycle TsmMapView.,Federico,1,1,,,,,,,,,,,,,,,,,,DONE
,,4. Lettura SensorManager Accelerometro,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,6. Download e cache Map Tiles OSM offline.,Federico,4,2,,,,,,,,,,,,,,,,,,DONE
,,7. Testing,Federico,1,1,1,,,,,,,,,,,,,,,,,DONE
,,8. Documentazione,Federico,1,1,1,,,,,,,,,,,,,,,,,DONE
,,9. Deploy,Federico,1,1,1,,,,,,,,,,,,,,,,,DONE
10,"voglio che la mia posizione GPS venga tracciata automaticamente in background durante l'escursione, cosi da garantire la mia sicurezza e quella del gruppo",1. Integrazione FusedLocationProviderClient.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,2. HikeTrackingEngine e visualizzazione traccia su mappa.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,3. Sviluppo logica di caching locale offline (Room/SQLite telemetria).,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,4. Worker periodico per invio batch coordinate al server.,Marco,3,1,,,,,,,,,,,,,,,,,,DONE
,,5. Testing,Federico,1,1,,,,,,,,,,,,,,,,,,DONE
,,6. Documentazione,Giacomo,1,1,,,,,,,,,,,,,,,,,,DONE
,,7. Deploy,Federico,1,1,,,,,,,,,,,,,,,,,,DONE
13,"escursionista, voglio che il tracciamento GPS si riduca automaticamente quando sono fermo, cosi da risparmiare la batteria del dispositivo",1. StationaryDetector e logica auto-pause.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,2. UI notifiche e metriche durante auto-pausa.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,3. Integrazione Activity Recognition API.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,4. Testing,Federico,1,1,,,,,,,,,,,,,,,,,,DONE
,,5. Documentazione,Giacomo,1,1,,,,,,,,,,,,,,,,,,DONE
,,6. Deploy,Federico,1,1,,,,,,,,,,,,,,,,,,DONE
42,Come sistema voglio mantenere attivo tracciamento GPS tramite Foreground Services cosi da evitare che Android interrompa i processi (Doze Mode),1. Implementazione Android Foreground Service con notifica persistente.,Federico,0,,,,,,,,,,,,,,,,,,,DONE
,,2. Richiesta permessi a runtime (Location).,Federico,0,,,,,,,,,,,,,,,,,,,DONE
